StartRegion,DestRegion,Drive
Bbcountry,Becity,153278.80000000002
Becountry,Becity,0.0
Bwcountry,Becity,0.0
Bycountry,Becity,0.0
Hbcountry,Becity,0.0
Hecountry,Becity,0.0
Hhcountry,Becity,0.0
Mvcountry,Becity,0.0
Nicountry,Becity,0.0
Nwcountry,Becity,0.0
Rpcountry,Becity,0.0
Shcountry,Becity,0.0
Slcountry,Becity,0.0
Sncountry,Becity,0.0
Stcountry,Becity,0.0
Thcountry,Becity,0.0
Bbcity,Becity,0.0
Becity,Becity,613112.0
Bwcity,Becity,0.0
Bycity,Becity,0.0
Hbcity,Becity,0.0
Hecity,Becity,0.0
Hhcity,Becity,0.0
Mvcity,Becity,0.0
Nicity,Becity,0.0
Nwcity,Becity,0.0
Rpcity,Becity,0.0
Shcity,Becity,0.0
Slcity,Becity,0.0
Sncity,Becity,0.0
Stcity,Becity,0.0
Thcity,Becity,0.0
Bbcountry,Bwcity,0.0
Becountry,Bwcity,0.0
Bwcountry,Bwcity,3095.088
Bycountry,Bwcity,0.0
Hbcountry,Bwcity,0.0
Hecountry,Bwcity,0.0
Hhcountry,Bwcity,0.0
Mvcountry,Bwcity,0.0
Nicountry,Bwcity,0.0
Nwcountry,Bwcity,6846.920000000002
Rpcountry,Bwcity,0.0
Shcountry,Bwcity,0.0
Slcountry,Bwcity,0.0
Sncountry,Bwcity,0.0
Stcountry,Bwcity,0.0
Thcountry,Bwcity,0.0
Bbcity,Bwcity,0.0
Becity,Bwcity,0.0
Bwcity,Bwcity,39768.0
Bycity,Bwcity,0.0
Hbcity,Bwcity,0.0
Hecity,Bwcity,0.0
Hhcity,Bwcity,0.0
Mvcity,Bwcity,0.0
Nicity,Bwcity,0.0
Nwcity,Bwcity,0.0
Rpcity,Bwcity,0.0
Shcity,Bwcity,0.0
Slcity,Bwcity,0.0
Sncity,Bwcity,0.0
Stcity,Bwcity,0.0
Thcity,Bwcity,0.0
Bbcountry,Bycity,0.0
Becountry,Bycity,0.0
Bwcountry,Bycity,0.0
Bycountry,Bycity,0.0
Hbcountry,Bycity,0.0
Hecountry,Bycity,0.0
Hhcountry,Bycity,0.0
Mvcountry,Bycity,0.0
Nicountry,Bycity,0.0
Nwcountry,Bycity,0.0
Rpcountry,Bycity,0.0
Shcountry,Bycity,0.0
Slcountry,Bycity,54.94400000000001
Sncountry,Bycity,36.584
Stcountry,Bycity,122.12800000000003
Thcountry,Bycity,0.0
Bbcity,Bycity,0.0
Becity,Bycity,0.0
Bwcity,Bycity,0.0
Bycity,Bycity,852.0
Hbcity,Bycity,0.0
Hecity,Bycity,0.0
Hhcity,Bycity,0.0
Mvcity,Bycity,0.0
Nicity,Bycity,0.0
Nwcity,Bycity,0.0
Rpcity,Bycity,0.0
Shcity,Bycity,0.0
Slcity,Bycity,0.0
Sncity,Bycity,0.0
Stcity,Bycity,0.0
Thcity,Bycity,0.0
Bbcountry,Hbcity,0.0
Becountry,Hbcity,0.0
Bwcountry,Hbcity,0.0
Bycountry,Hbcity,0.0
Hbcountry,Hbcity,0.0
Hecountry,Hbcity,0.0
Hhcountry,Hbcity,0.0
Mvcountry,Hbcity,16308.440000000002
Nicountry,Hbcity,0.0
Nwcountry,Hbcity,0.0
Rpcountry,Hbcity,0.0
Shcountry,Hbcity,0.0
Slcountry,Hbcity,0.0
Sncountry,Hbcity,0.0
Stcountry,Hbcity,0.0
Thcountry,Hbcity,0.0
Bbcity,Hbcity,0.0
Becity,Hbcity,0.0
Bwcity,Hbcity,0.0
Bycity,Hbcity,0.0
Hbcity,Hbcity,65232.0
Hecity,Hbcity,0.0
Hhcity,Hbcity,0.0
Mvcity,Hbcity,0.0
Nicity,Hbcity,0.0
Nwcity,Hbcity,0.0
Rpcity,Hbcity,0.0
Shcity,Hbcity,0.0
Slcity,Hbcity,0.0
Sncity,Hbcity,0.0
Stcity,Hbcity,0.0
Thcity,Hbcity,0.0
Bbcountry,Hecity,0.0
Becountry,Hecity,0.0
Bwcountry,Hecity,0.0
Bycountry,Hecity,0.0
Hbcountry,Hecity,0.0
Hecountry,Hecity,0.0
Hhcountry,Hecity,0.0
Mvcountry,Hecity,899.7760000000001
Nicountry,Hecity,2142.0
Nwcountry,Hecity,6865.8240000000005
Rpcountry,Hecity,0.0
Shcountry,Hecity,0.0
Slcountry,Hecity,0.0
Sncountry,Hecity,0.0
Stcountry,Hecity,465.66400000000004
Thcountry,Hecity,0.0
Bbcity,Hecity,0.0
Becity,Hecity,0.0
Bwcity,Hecity,0.0
Bycity,Hecity,0.0
Hbcity,Hecity,0.0
Hecity,Hecity,41492.0
Hhcity,Hecity,0.0
Mvcity,Hecity,0.0
Nicity,Hecity,0.0
Nwcity,Hecity,0.0
Rpcity,Hecity,0.0
Shcity,Hecity,0.0
Slcity,Hecity,0.0
Sncity,Hecity,0.0
Stcity,Hecity,0.0
Thcity,Hecity,0.0
Bbcountry,Hhcity,0.0
Becountry,Hhcity,0.0
Bwcountry,Hhcity,0.0
Bycountry,Hhcity,0.0
Hbcountry,Hhcity,0.0
Hecountry,Hhcity,0.0
Hhcountry,Hhcity,1303.968
Mvcountry,Hhcity,14574.440000000002
Nicountry,Hhcity,0.0
Nwcountry,Hhcity,0.0
Rpcountry,Hhcity,26610.848000000005
Shcountry,Hhcity,0.0
Slcountry,Hhcity,0.0
Sncountry,Hhcity,0.0
Stcountry,Hhcity,0.0
Thcountry,Hhcity,0.0
Bbcity,Hhcity,0.0
