StartRegion,DestRegion,Drive
Bbcountry,Bbcity,0.026
Becountry,Bbcity,0.0
Bwcountry,Bbcity,0.0
Bycountry,Bbcity,0.0
Hbcountry,Bbcity,0.0
Hecountry,Bbcity,0.0
Hhcountry,Bbcity,0.0
Mvcountry,Bbcity,0.146
Nicountry,Bbcity,0.0
Nwcountry,Bbcity,0.0
Rpcountry,Bbcity,0.0
Shcountry,Bbcity,0.0
Slcountry,Bbcity,0.0
Sncountry,Bbcity,0.042
Stcountry,Bbcity,0.084
Thcountry,Bbcity,0.0
Bbcity,Bbcity,0.093
Becity,Bbcity,0.031
Bwcity,Bbcity,0.0
Bycity,Bbcity,0.0
Hbcity,Bbcity,0.0
Hecity,Bbcity,0.0
Hhcity,Bbcity,0.0
Mvcity,Bbcity,0.206
Nicity,Bbcity,0.0
Nwcity,Bbcity,0.0
Rpcity,Bbcity,0.0
Shcity,Bbcity,0.0
Slcity,Bbcity,0.0
Sncity,Bbcity,0.068
Stcity,Bbcity,0.116
Thcity,Bbcity,0.0
Bbcountry,Becity,0.031
Becountry,Becity,0.0
Bwcountry,Becity,0.0
Bycountry,Becity,0.0
Hbcountry,Becity,0.0
Hecountry,Becity,0.0
Hhcountry,Becity,0.0
Mvcountry,Becity,0.0
Nicountry,Becity,0.0
Nwcountry,Becity,0.0
Rpcountry,Becity,0.0
Shcountry,Becity,0.0
Slcountry,Becity,0.0
Sncountry,Becity,0.0
Stcountry,Becity,0.0
Thcountry,Becity,0.0
Bbcity,Becity,0.027
Becity,Becity,0.008
Bwcity,Becity,0.0
Bycity,Becity,0.0
Hbcity,Becity,0.0
Hecity,Becity,0.0
Hhcity,Becity,0.0
Mvcity,Becity,0.0
Nicity,Becity,0.0
Nwcity,Becity,0.0
Rpcity,Becity,0.0
Shcity,Becity,0.0
Slcity,Becity,0.0
Sncity,Becity,0.0
Stcity,Becity,0.0
Thcity,Becity,0.0
Bbcountry,Bwcity,0.0
Becountry,Bwcity,0.0
Bwcountry,Bwcity,0.0
Bycountry,Bwcity,0.04
Hbcountry,Bwcity,0.0
Hecountry,Bwcity,0.028
Hhcountry,Bwcity,0.0
Mvcountry,Bwcity,0.0
Nicountry,Bwcity,0.0
Nwcountry,Bwcity,0.0
Rpcountry,Bwcity,0.03
Shcountry,Bwcity,0.0
Slcountry,Bwcity,0.0
Sncountry,Bwcity,0.0
Stcountry,Bwcity,0.0
Thcountry,Bwcity,0.0
Bbcity,Bwcity,0.0
Becity,Bwcity,0.0
Bwcity,Bwcity,0.0
Bycity,Bwcity,0.081
Hbcity,Bwcity,0.0
Hecity,Bwcity,0.103
Hhcity,Bwcity,0.0
Mvcity,Bwcity,0.0
Nicity,Bwcity,0.0
Nwcity,Bwcity,0.0
Rpcity,Bwcity,0.023
Shcity,Bwcity,0.0
Slcity,Bwcity,0.0
Sncity,Bwcity,0.0
Stcity,Bwcity,0.0
Thcity,Bwcity,0.0
Bbcountry,Bycity,0.0
Becountry,Bycity,0.0
Bwcountry,Bycity,0.132
Bycountry,Bycity,0.0
Hbcountry,Bycity,0.0
Hecountry,Bycity,0.186
Hhcountry,Bycity,0.0
Mvcountry,Bycity,0.0
Nicountry,Bycity,0.0
Nwcountry,Bycity,0.0
Rpcountry,Bycity,0.0
Shcountry,Bycity,0.0
Slcountry,Bycity,0.0
Sncountry,Bycity,0.209
Stcountry,Bycity,0.234
Thcountry,Bycity,0.126
Bbcity,Bycity,0.0
Becity,Bycity,0.0
Bwcity,Bycity,0.051
Bycity,Bycity,0.0
Hbcity,Bycity,0.0
Hecity,Bycity,0.128
Hhcity,Bycity,0.0
Mvcity,Bycity,0.0
Nicity,Bycity,0.0
Nwcity,Bycity,0.0
Rpcity,Bycity,0.0
Shcity,Bycity,0.0
Slcity,Bycity,0.0
Sncity,Bycity,0.252
Stcity,Bycity,0.272
Thcity,Bycity,0.171
Bbcountry,Hbcity,0.0
Becountry,Hbcity,0.0
Bwcountry,Hbcity,0.0
Bycountry,Hbcity,0.0
Hbcountry,Hbcity,0.0
Hecountry,Hbcity,0.0
Hhcountry,Hbcity,0.0
Mvcountry,Hbcity,0.0
Nicountry,Hbcity,0.025
Nwcountry,Hbcity,0.0
Rpcountry,Hbcity,0.0
Shcountry,Hbcity,0.0
Slcountry,Hbcity,0.0
Sncountry,Hbcity,0.0
Stcountry,Hbcity,0.0
Thcountry,Hbcity,0.0
Bbcity,Hbcity,0.0
Becity,Hbcity,0.0
Bwcity,Hbcity,0.0
Bycity,Hbcity,0.0
Hbcity,Hbcity,0.048
Hecity,Hbcity,0.0
Hhcity,Hbcity,0.0
Mvcity,Hbcity,0.0
Nicity,Hbcity,0.031
Nwcity,Hbcity,0.0
Rpcity,Hbcity,0.0
Shcity,Hbcity,0.0
Slcity,Hbcity,0.0
Sncity,Hbcity,0.0
Stcity,Hbcity,0.0
Thcity,Hbcity,0.0
Bbcountry,Hecity,0.0
Becountry,Hecity,0.0
Bwcountry,Hecity,0.137
Bycountry,Hecity,0.0
Hbcountry,Hecity,0.0
Hecountry,Hecity,0.021
Hhcountry,Hecity,0.0
Mvcountry,Hecity,0.0
Nicountry,Hecity,0.125
Nwcountry,Hecity,0.156
Rpcountry,Hecity,0.044
Shcountry,Hecity,0.0
Slcountry,Hecity,0.0
Sncountry,Hecity,0.0
Stcountry,Hecity,0.0
Thcountry,Hecity,0.086
Bbcity,Hecity,0.0
Becity,Hecity,0.0
Bwcity,Hecity,0.129
Bycity,Hecity,0.0
Hbcity,Hecity,0.0
Hecity,Hecity,0.028
Hhcity,Hecity,0.0
Mvcity,Hecity,0.0
Nicity,Hecity,0.201
Nwcity,Hecity,0.162
Rpcity,Hecity,0.024
Shcity,Hecity,0.0
Slcity,Hecity,0.0
Sncity,Hecity,0.0
Stcity,Hecity,0.0
Thcity,Hecity,0.187
Bbcountry,Hhcity,0.0
Becountry,Hhcity,0.0
Bwcountry,Hhcity,0.0
Bycountry,Hhcity,0.0
Hbcountry,Hhcity,0.0
Hecountry,Hhcity,0.0
Hhcountry,Hhcity,0.0
Mvcountry,Hhcity,0.122
Nicountry,Hhcity,0.043
Nwcountry,Hhcity,0.0
Rpcountry,Hhcity,0.0
Shcountry,Hhcity,0.031
Slcountry,Hhcity,0.0
Sncountry,Hhcity,0.0
Stcountry,Hhcity,0.0
Thcountry,Hhcity,0.0
Bbcity,Hhcity,0.0
Becity,Hhcity,0.0
Bwcity,Hhcity,0.0
Bycity,Hhcity,0.0
Hbcity,Hhcity,0.0
Hecity,Hhcity,0.0
Hhcity,Hhcity,0.008
Mvcity,Hhcity,0.119
Nicity,Hhcity,0.083
Nwcity,Hhcity,0.0
Rpcity,Hhcity,0.0
Shcity,Hhcity,0.047
Slcity,Hhcity,0.0
Sncity,Hhcity,0.0
Stcity,Hhcity,0.0
Thcity,Hhcity,0.0
Bbcountry,Mvcity,0.11
Becountry,Mvcity,0.0
Bwcountry,Mvcity,0.0
Bycountry,Mvcity,0.0
Hbcountry,Mvcity,0.0
Hecountry,Mvcity,0.0
Hhcountry,Mvcity,0.0
Mvcountry,Mvcity,0.031
Nicountry,Mvcity,0.106
Nwcountry,Mvcity,0.0
Rpcountry,Mvcity,0.0
Shcountry,Mvcity,0.079
Slcountry,Mvcity,0.0
Sncountry,Mvcity,0.0
Stcountry,Mvcity,0.0
Thcountry,Mvcity,0.0
Bbcity,Mvcity,0.224
Becity,Mvcity,0.0
Bwcity,Mvcity,0.0
Bycity,Mvcity,0.0
Hbcity,Mvcity,0.0
Hecity,Mvcity,0.0
Hhcity,Mvcity,0.124
Mvcity,Mvcity,0.039
Nicity,Mvcity,0.245
Nwcity,Mvcity,0.0
Rpcity,Mvcity,0.0
Shcity,Mvcity,0.132
Slcity,Mvcity,0.0
Sncity,Mvcity,0.0
Stcity,Mvcity,0.0
Thcity,Mvcity,0.0
Bbcountry,Nicity,0.0
Becountry,Nicity,0.0
Bwcountry,Nicity,0.0
Bycountry,Nicity,0.0
Hbcountry,Nicity,0.0
Hecountry,Nicity,0.16
Hhcountry,Nicity,0.0
Mvcountry,Nicity,0.277
Nicountry,Nicity,0.024
Nwcountry,Nicity,0.048
Rpcountry,Nicity,0.0
Shcountry,Nicity,0.177
Slcountry,Nicity,0.0
Sncountry,Nicity,0.0
Stcountry,Nicity,0.074
Thcountry,Nicity,0.136
Bbcity,Nicity,0.0
Becity,Nicity,0.0
Bwcity,Nicity,0.0
Bycity,Nicity,0.0
Hbcity,Nicity,0.07
Hecity,Nicity,0.139
Hhcity,Nicity,0.14
Mvcity,Nicity,0.241
Nicity,Nicity,0.031
Nwcity,Nicity,0.135
Rpcity,Nicity,0.0
Shcity,Nicity,0.218
Slcity,Nicity,0.0
Sncity,Nicity,0.0
Stcity,Nicity,0.112
Thcity,Nicity,0.184
Bbcountry,Nwcity,0.0
Becountry,Nwcity,0.0
Bwcountry,Nwcity,0.0
Bycountry,Nwcity,0.0
Hbcountry,Nwcity,0.0
Hecountry,Nwcity,0.151
Hhcountry,Nwcity,0.0
Mvcountry,Nwcity,0.0
Nicountry,Nwcity,0.153
Nwcountry,Nwcity,0.024
Rpcountry,Nwcity,0.049
Shcountry,Nwcity,0.0
Slcountry,Nwcity,0.0
Sncountry,Nwcity,0.0
Stcountry,Nwcity,0.0
Thcountry,Nwcity,0.0
Bbcity,Nwcity,0.0
Becity,Nwcity,0.0
Bwcity,Nwcity,0.0
Bycity,Nwcity,0.0
Hbcity,Nwcity,0.0
Hecity,Nwcity,0.159
Hhcity,Nwcity,0.0
Mvcity,Nwcity,0.0
Nicity,Nwcity,0.207
Nwcity,Nwcity,0.023
Rpcity,Nwcity,0.139
Shcity,Nwcity,0.0
Slcity,Nwcity,0.0
Sncity,Nwcity,0.0
Stcity,Nwcity,0.0
Thcity,Nwcity,0.0
Bbcountry,Rpcity,0.0
Becountry,Rpcity,0.0
Bwcountry,Rpcity,0.028
Bycountry,Rpcity,0.0
Hbcountry,Rpcity,0.0
Hecountry,Rpcity,0.023
Hhcountry,Rpcity,0.0
Mvcountry,Rpcity,0.0
Nicountry,Rpcity,0.312
Nwcountry,Rpcity,0.113
Rpcountry,Rpcity,0.02
Shcountry,Rpcity,0.0
Slcountry,Rpcity,0.049
Sncountry,Rpcity,0.0
Stcountry,Rpcity,0.0
Thcountry,Rpcity,0.0
Bbcity,Rpcity,0.0
Becity,Rpcity,0.0
Bwcity,Rpcity,0.025
Bycity,Rpcity,0.0
Hbcity,Rpcity,0.0
Hecity,Rpcity,0.024
Hhcity,Rpcity,0.0
Mvcity,Rpcity,0.0
Nicity,Rpcity,0.296
Nwcity,Rpcity,0.131
Rpcity,Rpcity,0.033
Shcity,Rpcity,0.0
Slcity,Rpcity,0.076
Sncity,Rpcity,0.0
Stcity,Rpcity,0.0
Thcity,Rpcity,0.0
Bbcountry,Shcity,0.0
Becountry,Shcity,0.0
Bwcountry,Shcity,0.0
Bycountry,Shcity,0.0
Hbcountry,Shcity,0.0
Hecountry,Shcity,0.0
Hhcountry,Shcity,0.0
Mvcountry,Shcity,0.115
Nicountry,Shcity,0.145
Nwcountry,Shcity,0.0
