Start,Destination,Hour,Capacity
Bbcountry,Bbcountry,0,0.9885118956788105
Bbcountry,Bbcountry,1,0.9699388990396386
Bbcountry,Bbcountry,2,0.9392809811931455
Bbcountry,Bbcountry,3,0.8937432098255149
Bbcountry,Bbcountry,4,0.831998259458562
Bbcountry,Bbcountry,5,0.754455094559169
Bbcountry,Bbcountry,6,0.6641546037531828
Bbcountry,Bbcountry,7,0.5671211367346274
Bbcountry,Bbcountry,8,0.4712229270443379
Bbcountry,Bbcountry,9,0.3827307147868757
Bbcountry,Bbcountry,10,0.3033962573445963
Bbcountry,Bbcountry,11,0.23139778038598746
Bbcountry,Bbcountry,12,0.1644522873046461
Bbcountry,Bbcountry,13,0.10356149656945117
Bbcountry,Bbcountry,14,0.0561973937291517
Bbcountry,Bbcountry,15,0.03568023983891569
Bbcountry,Bbcountry,16,0.05717457113996084
Bbcountry,Bbcountry,17,0.13245696882025834
Bbcountry,Bbcountry,18,0.26211922656402475
Bbcountry,Bbcountry,19,0.42790858454369984
Bbcountry,Bbcountry,20,0.5971368986071948
Bbcountry,Bbcountry,21,0.7477086873858141
Bbcountry,Bbcountry,22,0.8832078646986655
Bbcountry,Bbcountry,23,1.0
Bbcountry,Becountry,0,0.0
Bbcountry,Becountry,1,0.0
Bbcountry,Becountry,2,0.0
Bbcountry,Becountry,3,0.0
Bbcountry,Becountry,4,0.0
Bbcountry,Becountry,5,0.0
Bbcountry,Becountry,6,0.0
Bbcountry,Becountry,7,0.0
Bbcountry,Becountry,8,0.0
Bbcountry,Becountry,9,0.0
Bbcountry,Becountry,10,0.0
Bbcountry,Becountry,11,0.0
Bbcountry,Becountry,12,0.0
Bbcountry,Becountry,13,0.0
Bbcountry,Becountry,14,0.0
Bbcountry,Becountry,15,0.0
Bbcountry,Becountry,16,0.0
Bbcountry,Becountry,17,0.0
Bbcountry,Becountry,18,0.0
Bbcountry,Becountry,19,0.0
Bbcountry,Becountry,20,0.0
Bbcountry,Becountry,21,0.0
Bbcountry,Becountry,22,0.0
Bbcountry,Becountry,23,0.0
Bbcountry,Bwcountry,0,0.0
Bbcountry,Bwcountry,1,0.0
Bbcountry,Bwcountry,2,0.0
Bbcountry,Bwcountry,3,0.0
Bbcountry,Bwcountry,4,0.0
Bbcountry,Bwcountry,5,0.0
Bbcountry,Bwcountry,6,0.0
Bbcountry,Bwcountry,7,0.0
Bbcountry,Bwcountry,8,0.0
Bbcountry,Bwcountry,9,0.0
Bbcountry,Bwcountry,10,0.0
Bbcountry,Bwcountry,11,0.0
Bbcountry,Bwcountry,12,0.0
Bbcountry,Bwcountry,13,0.0
Bbcountry,Bwcountry,14,0.0
Bbcountry,Bwcountry,15,0.0
Bbcountry,Bwcountry,16,0.0
Bbcountry,Bwcountry,17,0.0
Bbcountry,Bwcountry,18,0.0
Bbcountry,Bwcountry,19,0.0
Bbcountry,Bwcountry,20,0.0
Bbcountry,Bwcountry,21,0.0
Bbcountry,Bwcountry,22,0.0
Bbcountry,Bwcountry,23,0.0
Bbcountry,Bycountry,0,0.0
Bbcountry,Bycountry,1,0.0
Bbcountry,Bycountry,2,0.0
Bbcountry,Bycountry,3,0.0
Bbcountry,Bycountry,4,0.0
Bbcountry,Bycountry,5,0.0
Bbcountry,Bycountry,6,0.0
Bbcountry,Bycountry,7,0.0
Bbcountry,Bycountry,8,0.0
Bbcountry,Bycountry,9,0.0
Bbcountry,Bycountry,10,0.0
Bbcountry,Bycountry,11,0.0
Bbcountry,Bycountry,12,0.0
Bbcountry,Bycountry,13,0.0
Bbcountry,Bycountry,14,0.0
Bbcountry,Bycountry,15,0.0
Bbcountry,Bycountry,16,0.0
Bbcountry,Bycountry,17,0.0
Bbcountry,Bycountry,18,0.0
Bbcountry,Bycountry,19,0.0
Bbcountry,Bycountry,20,0.0
Bbcountry,Bycountry,21,0.0
Bbcountry,Bycountry,22,0.0
Bbcountry,Bycountry,23,0.0
Bbcountry,Hbcountry,0,0.0
Bbcountry,Hbcountry,1,0.0
Bbcountry,Hbcountry,2,0.0
Bbcountry,Hbcountry,3,0.0
Bbcountry,Hbcountry,4,0.0
Bbcountry,Hbcountry,5,0.0
Bbcountry,Hbcountry,6,0.0
Bbcountry,Hbcountry,7,0.0
Bbcountry,Hbcountry,8,0.0
Bbcountry,Hbcountry,9,0.0
Bbcountry,Hbcountry,10,0.0
Bbcountry,Hbcountry,11,0.0
Bbcountry,Hbcountry,12,0.0
Bbcountry,Hbcountry,13,0.0
Bbcountry,Hbcountry,14,0.0
Bbcountry,Hbcountry,15,0.0
Bbcountry,Hbcountry,16,0.0
Bbcountry,Hbcountry,17,0.0
Bbcountry,Hbcountry,18,0.0
Bbcountry,Hbcountry,19,0.0
Bbcountry,Hbcountry,20,0.0
Bbcountry,Hbcountry,21,0.0
