country,storage,value
Bbcity,Hydrogen,2.41379310344828
Bbcountry,Hydrogen,2.41379310344828
Becity,Hydrogen,2.41379310344828
Becountry,Hydrogen,2.41379310344828
Bwcity,Hydrogen,2.41379310344828
Bwcountry,Hydrogen,2.41379310344828
Bycity,Hydrogen,2.41379310344828
Bycountry,Hydrogen,2.41379310344828
Hbcity,Hydrogen,2.41379310344828
Hbcountry,Hydrogen,2.41379310344828
Hecity,Hydrogen,2.41379310344828
Hecountry,Hydrogen,2.41379310344828
Hhcity,Hydrogen,2.41379310344828
Hhcountry,Hydrogen,2.41379310344828
Mvcity,Hydrogen,2.41379310344828
Mvcountry,Hydrogen,2.41379310344828
Nicity,Hydrogen,2.41379310344828
Nicountry,Hydrogen,2.41379310344828
Nwcity,Hydrogen,2.41379310344828
Nwcountry,Hydrogen,2.41379310344828
Rpcity,Hydrogen,2.41379310344828
Rpcountry,Hydrogen,2.41379310344828
Shcity,Hydrogen,2.41379310344828
Shcountry,Hydrogen,2.41379310344828
Slcity,Hydrogen,2.41379310344828
Slcountry,Hydrogen,2.41379310344828
Sncity,Hydrogen,2.41379310344828
Sncountry,Hydrogen,2.41379310344828
Stcity,Hydrogen,2.41379310344828
Stcountry,Hydrogen,2.41379310344828
Thcity,Hydrogen,2.41379310344828
Thcountry,Hydrogen,2.41379310344828
Bbcity,PumpedHydro,0.0
Bbcountry,PumpedHydro,76.9230769230769
Becity,PumpedHydro,0.0
Becountry,PumpedHydro,76.9230769230769
Bwcity,PumpedHydro,0.0
Bwcountry,PumpedHydro,76.9230769230769
Bycity,PumpedHydro,0.0
Bycountry,PumpedHydro,76.9230769230769
Hbcity,PumpedHydro,0.0
Hbcountry,PumpedHydro,76.9230769230769
Hecity,PumpedHydro,0.0
Hecountry,PumpedHydro,76.9230769230769
Hhcity,PumpedHydro,0.0
Hhcountry,PumpedHydro,76.9230769230769
Mvcity,PumpedHydro,0.0
Mvcountry,PumpedHydro,76.9230769230769
Nicity,PumpedHydro,0.0
Nicountry,PumpedHydro,76.9230769230769
Nwcity,PumpedHydro,0.0
Nwcountry,PumpedHydro,76.9230769230769
Rpcity,PumpedHydro,0.0
Rpcountry,PumpedHydro,76.9230769230769
Shcity,PumpedHydro,0.0
Shcountry,PumpedHydro,76.9230769230769
Slcity,PumpedHydro,0.0
Slcountry,PumpedHydro,76.9230769230769
Sncity,PumpedHydro,0.0
Sncountry,PumpedHydro,76.9230769230769
Stcity,PumpedHydro,0.0
Stcountry,PumpedHydro,76.9230769230769
Thcity,PumpedHydro,0.0
Thcountry,PumpedHydro,76.9230769230769
Bbcity,Battery,5.17241379310345
Bbcountry,Battery,5.17241379310345
Becity,Battery,5.17241379310345
Becountry,Battery,5.17241379310345
Bwcity,Battery,5.17241379310345
Bwcountry,Battery,5.17241379310345
Bycity,Battery,5.17241379310345
Bycountry,Battery,5.17241379310345
Hbcity,Battery,5.17241379310345
Hbcountry,Battery,5.17241379310345
Hecity,Battery,5.17241379310345
Hecountry,Battery,5.17241379310345
Hhcity,Battery,5.17241379310345
Hhcountry,Battery,5.17241379310345
Mvcity,Battery,5.17241379310345
Mvcountry,Battery,5.17241379310345
Nicity,Battery,5.17241379310345
Nicountry,Battery,5.17241379310345
Nwcity,Battery,5.17241379310345
Nwcountry,Battery,5.17241379310345
Rpcity,Battery,5.17241379310345
Rpcountry,Battery,5.17241379310345
Shcity,Battery,5.17241379310345
Shcountry,Battery,5.17241379310345
Slcity,Battery,5.17241379310345
Slcountry,Battery,5.17241379310345
Sncity,Battery,5.17241379310345
Sncountry,Battery,5.17241379310345
Stcity,Battery,5.17241379310345
Stcountry,Battery,5.17241379310345
Thcity,Battery,5.17241379310345
Thcountry,Battery,5.17241379310345
