country,Plant,hour,value
Becountry,Solar PV,0,0.0
Bbcountry,Solar PV,0,0.0
Hbcountry,Solar PV,0,0.0
Hhcountry,Solar PV,0,0.0
Mvcountry,Solar PV,0,0.0
Slcountry,Solar PV,0,0.0
Stcountry,Solar PV,0,0.0
Shcountry,Solar PV,0,0.0
Thcountry,Solar PV,0,0.0
Bwcountry,Solar PV,0,0.0
Bycountry,Solar PV,0,0.0
Hecountry,Solar PV,0,0.0
Nicountry,Solar PV,0,0.0
Nwcountry,Solar PV,0,0.0
Rpcountry,Solar PV,0,0.0
Sncountry,Solar PV,0,0.0
Becountry,Solar PV,1,0.0
Bbcountry,Solar PV,1,0.0
Hbcountry,Solar PV,1,0.0
Hhcountry,Solar PV,1,0.0
Mvcountry,Solar PV,1,0.0
Slcountry,Solar PV,1,0.0
Stcountry,Solar PV,1,0.0
Shcountry,Solar PV,1,0.0
Thcountry,Solar PV,1,0.0
Bwcountry,Solar PV,1,0.0
Bycountry,Solar PV,1,0.0
Hecountry,Solar PV,1,0.0
Nicountry,Solar PV,1,0.0
Nwcountry,Solar PV,1,0.0
Rpcountry,Solar PV,1,0.0
Sncountry,Solar PV,1,0.0
Becountry,Solar PV,2,0.0
Bbcountry,Solar PV,2,0.0
Hbcountry,Solar PV,2,0.0
Hhcountry,Solar PV,2,0.0
Mvcountry,Solar PV,2,0.0
Slcountry,Solar PV,2,0.0
Stcountry,Solar PV,2,0.0
Shcountry,Solar PV,2,0.0
Thcountry,Solar PV,2,0.0
Bwcountry,Solar PV,2,0.0
Bycountry,Solar PV,2,0.0
Hecountry,Solar PV,2,0.0
Nicountry,Solar PV,2,0.0
Nwcountry,Solar PV,2,0.0
Rpcountry,Solar PV,2,0.0
Sncountry,Solar PV,2,0.0
Becountry,Solar PV,3,0.002
Bbcountry,Solar PV,3,0.002
Hbcountry,Solar PV,3,0.0
Hhcountry,Solar PV,3,0.0
Mvcountry,Solar PV,3,0.002
Slcountry,Solar PV,3,0.0
Stcountry,Solar PV,3,0.0
Shcountry,Solar PV,3,0.0
Thcountry,Solar PV,3,0.0
Bwcountry,Solar PV,3,0.0
Bycountry,Solar PV,3,0.0
Hecountry,Solar PV,3,0.0
Nicountry,Solar PV,3,0.0
Nwcountry,Solar PV,3,0.0
Rpcountry,Solar PV,3,0.0
Sncountry,Solar PV,3,0.0003333333333333
Becountry,Solar PV,4,0.063
Bbcountry,Solar PV,4,0.059
Hbcountry,Solar PV,4,0.02
Hhcountry,Solar PV,4,0.011
Mvcountry,Solar PV,4,0.052
Slcountry,Solar PV,4,0.017
Stcountry,Solar PV,4,0.047
Shcountry,Solar PV,4,0.023
Thcountry,Solar PV,4,0.039
Bwcountry,Solar PV,4,0.01025
Bycountry,Solar PV,4,0.0385714285714286
Hecountry,Solar PV,4,0.0176666666666667
Nicountry,Solar PV,4,0.01975
Nwcountry,Solar PV,4,0.0306
Rpcountry,Solar PV,4,0.019
Sncountry,Solar PV,4,0.055
Becountry,Solar PV,5,0.167
Bbcountry,Solar PV,5,0.156
Hbcountry,Solar PV,5,0.11
Hhcountry,Solar PV,5,0.033
Mvcountry,Solar PV,5,0.135
Slcountry,Solar PV,5,0.099
Stcountry,Solar PV,5,0.135
Shcountry,Solar PV,5,0.053
Thcountry,Solar PV,5,0.131
Bwcountry,Solar PV,5,0.07125
Bycountry,Solar PV,5,0.122571428571429
Hecountry,Solar PV,5,0.0953333333333333
Nicountry,Solar PV,5,0.0875
Nwcountry,Solar PV,5,0.1232
Rpcountry,Solar PV,5,0.102333333333333
Sncountry,Solar PV,5,0.156666666666667
Becountry,Solar PV,6,0.286
Bbcountry,Solar PV,6,0.274
Hbcountry,Solar PV,6,0.254
Hhcountry,Solar PV,6,0.108
Mvcountry,Solar PV,6,0.223
Slcountry,Solar PV,6,0.233
Stcountry,Solar PV,6,0.222
Shcountry,Solar PV,6,0.091
Thcountry,Solar PV,6,0.242
Bwcountry,Solar PV,6,0.1645
Bycountry,Solar PV,6,0.219285714285714
Hecountry,Solar PV,6,0.213333333333333
Nicountry,Solar PV,6,0.18575
Nwcountry,Solar PV,6,0.2326
