country,Plant,hour,value
Becountry,Solar PV,0,0.0
Bbcountry,Solar PV,0,0.0
Hbcountry,Solar PV,0,0.0
Hhcountry,Solar PV,0,0.0
Mvcountry,Solar PV,0,0.0
Slcountry,Solar PV,0,0.0
Stcountry,Solar PV,0,0.0
Shcountry,Solar PV,0,0.0
Thcountry,Solar PV,0,0.0
Bwcountry,Solar PV,0,0.0
Bycountry,Solar PV,0,0.0
Hecountry,Solar PV,0,0.0
Nicountry,Solar PV,0,0.0
Nwcountry,Solar PV,0,0.0
Rpcountry,Solar PV,0,0.0
Sncountry,Solar PV,0,0.0
Becountry,Solar PV,1,0.0
Bbcountry,Solar PV,1,0.0
Hbcountry,Solar PV,1,0.0
Hhcountry,Solar PV,1,0.0
Mvcountry,Solar PV,1,0.0
Slcountry,Solar PV,1,0.0
Stcountry,Solar PV,1,0.0
Shcountry,Solar PV,1,0.0
Thcountry,Solar PV,1,0.0
Bwcountry,Solar PV,1,0.0
Bycountry,Solar PV,1,0.0
Hecountry,Solar PV,1,0.0
Nicountry,Solar PV,1,0.0
Nwcountry,Solar PV,1,0.0
Rpcountry,Solar PV,1,0.0
Sncountry,Solar PV,1,0.0
Becountry,Solar PV,2,0.0
Bbcountry,Solar PV,2,0.0
Hbcountry,Solar PV,2,0.0
Hhcountry,Solar PV,2,0.0
Mvcountry,Solar PV,2,0.0
Slcountry,Solar PV,2,0.0
Stcountry,Solar PV,2,0.0
Shcountry,Solar PV,2,0.0
Thcountry,Solar PV,2,0.0
Bwcountry,Solar PV,2,0.0
Bycountry,Solar PV,2,0.0
Hecountry,Solar PV,2,0.0
Nicountry,Solar PV,2,0.0
Nwcountry,Solar PV,2,0.0
Rpcountry,Solar PV,2,0.0
Sncountry,Solar PV,2,0.0
Becountry,Solar PV,3,0.0
Bbcountry,Solar PV,3,0.0
Hbcountry,Solar PV,3,0.0
Hhcountry,Solar PV,3,0.0
Mvcountry,Solar PV,3,0.0
Slcountry,Solar PV,3,0.0
Stcountry,Solar PV,3,0.0
Shcountry,Solar PV,3,0.0
Thcountry,Solar PV,3,0.0
Bwcountry,Solar PV,3,0.0
Bycountry,Solar PV,3,0.0
Hecountry,Solar PV,3,0.0
Nicountry,Solar PV,3,0.0
Nwcountry,Solar PV,3,0.0
Rpcountry,Solar PV,3,0.0
Sncountry,Solar PV,3,0.0
Becountry,Solar PV,4,0.0
Bbcountry,Solar PV,4,0.0
Hbcountry,Solar PV,4,0.0
Hhcountry,Solar PV,4,0.0
Mvcountry,Solar PV,4,0.0
Slcountry,Solar PV,4,0.0
Stcountry,Solar PV,4,0.0
Shcountry,Solar PV,4,0.0
Thcountry,Solar PV,4,0.0
Bwcountry,Solar PV,4,0.0
Bycountry,Solar PV,4,0.0
Hecountry,Solar PV,4,0.0
Nicountry,Solar PV,4,0.0
Nwcountry,Solar PV,4,0.0
Rpcountry,Solar PV,4,0.0
Sncountry,Solar PV,4,0.0
Becountry,Solar PV,5,0.0
Bbcountry,Solar PV,5,0.0
Hbcountry,Solar PV,5,0.0
Hhcountry,Solar PV,5,0.0
Mvcountry,Solar PV,5,0.0
Slcountry,Solar PV,5,0.0
Stcountry,Solar PV,5,0.0
Shcountry,Solar PV,5,0.0
Thcountry,Solar PV,5,0.0
Bwcountry,Solar PV,5,0.0
Bycountry,Solar PV,5,0.0
Hecountry,Solar PV,5,0.0
Nicountry,Solar PV,5,0.0
Nwcountry,Solar PV,5,0.0
Rpcountry,Solar PV,5,0.0
Sncountry,Solar PV,5,0.0
Becountry,Solar PV,6,0.0
Bbcountry,Solar PV,6,0.0
Hbcountry,Solar PV,6,0.0
Hhcountry,Solar PV,6,0.0
Mvcountry,Solar PV,6,0.0
Slcountry,Solar PV,6,0.0
Stcountry,Solar PV,6,0.0
Shcountry,Solar PV,6,0.0
Thcountry,Solar PV,6,0.001
Bwcountry,Solar PV,6,0.0
Bycountry,Solar PV,6,0.0014285714285714
Hecountry,Solar PV,6,0.0
Nicountry,Solar PV,6,0.0
Nwcountry,Solar PV,6,0.0
Rpcountry,Solar PV,6,0.0
Sncountry,Solar PV,6,0.0
