region,hour,Power
Bbcity,0,0.07038020488446217
Bbcity,1,0.06790828771980296
Bbcity,2,0.06668785000070909
Bbcity,3,0.0668904394247003
Bbcity,4,0.06849645042706011
Bbcity,5,0.07271815175598592
Bbcity,6,0.08258621519555845
Bbcity,7,0.09205400122153422
Bbcity,8,0.09779348911648668
Bbcity,9,0.10094179351114922
Bbcity,10,0.10415708305237951
Bbcity,11,0.10721226157632323
Bbcity,12,0.10629570803642274
Bbcity,13,0.10551802622404338
Bbcity,14,0.10406559107953565
Bbcity,15,0.10238769349622243
Bbcity,16,0.0994860907437177
Bbcity,17,0.09870023996044197
Bbcity,18,0.09734583194821259
Bbcity,19,0.09507813793259343
Bbcity,20,0.09148381018111869
Bbcity,21,0.0888942604058776
Bbcity,22,0.08482286731188006
Bbcity,23,0.07758193070628067
Bbcountry,0,2.1764294754558313
Bbcountry,1,2.0999881893458894
Bbcountry,2,2.062247511705714
Bbcountry,3,2.0685123640816614
Bbcountry,4,2.1181764662135083
Bbcountry,5,2.2487278794117054
Bbcountry,6,2.5538867542801587
Bbcountry,7,2.8466674957978872
Bbcountry,8,3.0241547686625085
Bbcountry,9,3.1215125767777194
Bbcountry,10,3.2209418259699647
Bbcountry,11,3.3154198202185823
Bbcountry,12,3.287076422478443
Bbcountry,13,3.263027478293542
Bbcountry,14,3.2181125385759897
Bbcountry,15,3.166225423965938
Bbcountry,16,3.076496589459387
Bbcountry,17,3.0521950289447632
Bbcountry,18,3.0103114691505186
Bbcountry,19,2.940185556544687
Bbcountry,20,2.8290349727178765
Bbcountry,21,2.7489560290966284
Bbcountry,22,2.6230527307119456
Bbcountry,23,2.3991348281681177
Becity,0,1.7263120596275505
Becity,1,1.6656799483860891
Becity,2,1.635744594319491
Becity,3,1.6407137836869155
Becity,4,1.6801066238444513
Becity,5,1.783658097276994
Becity,6,2.025705658077214
Becity,7,2.2579350643633487
Becity,8,2.398715375892822
Becity,9,2.475938166772822
Becity,10,2.554803994448831
Becity,11,2.629742559047462
Becity,12,2.6072609900917874
Becity,13,2.588185718948894
Becity,14,2.552559845027289
Becity,15,2.51140374385298
Becity,16,2.4402321433707077
Becity,17,2.420956500646113
Becity,18,2.3877350729874967
Becity,19,2.3321122237341427
Becity,20,2.2439492046890726
Becity,21,2.180431756660281
Becity,22,2.0805670999831594
Becity,23,1.9029586914005858
Becountry,0,0.0
Becountry,1,0.0
Becountry,2,0.0
Becountry,3,0.0
Becountry,4,0.0
Becountry,5,0.0
Becountry,6,0.0
Becountry,7,0.0
Becountry,8,0.0
Becountry,9,0.0
Becountry,10,0.0
Becountry,11,0.0
Becountry,12,0.0
Becountry,13,0.0
Becountry,14,0.0
Becountry,15,0.0
Becountry,16,0.0
Becountry,17,0.0
Becountry,18,0.0
