region,hour,Power
Bbcity,0,0.08027114133884895
Bbcity,1,0.0739238853447489
Bbcity,2,0.07045372527687747
Bbcity,3,0.06880360205635114
Bbcity,4,0.06973649345163138
Bbcity,5,0.07188492121803287
Bbcity,6,0.07660982844080647
Bbcity,7,0.08765094975838254
Bbcity,8,0.09772487015845703
Bbcity,9,0.10045329166121929
Bbcity,10,0.10081762582754589
Bbcity,11,0.10198741608262565
Bbcity,12,0.10562258851575623
Bbcity,13,0.10584151570871415
Bbcity,14,0.10540692877289602
Bbcity,15,0.1027111829808932
Bbcity,16,0.10151361836302662
Bbcity,17,0.1005186430827382
Bbcity,18,0.10398880315060961
Bbcity,19,0.10609148488738267
Bbcity,20,0.10392181791762882
Bbcity,21,0.09736870496302681
Bbcity,22,0.09295748452897878
Bbcity,23,0.08921448226762459
Bbcountry,0,2.482295672840836
Bbcountry,1,2.286013848192826
Bbcountry,2,2.178703011734426
Bbcountry,3,2.127674788369869
Bbcountry,4,2.1565234160972273
Bbcountry,5,2.222961152735818
Bbcountry,6,2.3690736479369914
Bbcountry,7,2.7105080316121297
Bbcountry,8,3.0220328037850837
Bbcountry,9,3.1064062009615707
Bbcountry,10,3.117672829409308
Bbcountry,11,3.1538472906152126
Bbcountry,12,3.2662609507461813
Bbcountry,13,3.2730310304371204
Bbcountry,14,3.2595919133115685
Bbcountry,15,3.176228976109517
Bbcountry,16,3.1391956236581198
Bbcountry,17,3.108427120910443
Bbcountry,18,3.2157379573688423
Bbcountry,19,3.280761048974332
Bbcountry,20,3.2136665136195806
Bbcountry,21,3.011018791667069
Bbcountry,22,2.8746067111515896
Bbcountry,23,2.7588585336394273
Becity,0,1.9689206583130494
Becity,1,1.813232782920444
Becity,2,1.728115395384578
Becity,3,1.6876405541967403
Becity,4,1.710522864196247
Becity,5,1.7632203061611593
Becity,6,1.8791146024719694
Becity,7,2.149935366827976
Becity,8,2.3970322643565587
Becity,9,2.4639560101981317
Becity,10,2.472892535263617
Becity,11,2.5015855893388945
Becity,12,2.5907504620533293
Becity,13,2.5961203903450145
Becity,14,2.585460679003011
Becity,15,2.5193384152491007
Becity,16,2.4899641011873532
Becity,17,2.465558974373458
Becity,18,2.550676361909323
Becity,19,2.602251728103679
Becity,20,2.549033322993743
Becity,21,2.3882961108727754
Becity,22,2.2800960417557015
Becity,23,2.1882862785758928
Becountry,0,0.0
Becountry,1,0.0
Becountry,2,0.0
Becountry,3,0.0
Becountry,4,0.0
Becountry,5,0.0
Becountry,6,0.0
Becountry,7,0.0
Becountry,8,0.0
Becountry,9,0.0
Becountry,10,0.0
Becountry,11,0.0
Becountry,12,0.0
Becountry,13,0.0
Becountry,14,0.0
Becountry,15,0.0
Becountry,16,0.0
Becountry,17,0.0
Becountry,18,0.0
Becountry,19,0.0
Becountry,20,0.0
Becountry,21,0.0
Becountry,22,0.0
Becountry,23,0.0
Bwcity,0,2.79607118696146
Bwcity,1,2.5749782847632154
Bwcity,2,2.4541027818354455
Bwcity,3,2.396624316786926
Bwcity,4,2.4291195661056864
Bwcity,5,2.503955389724353
Bwcity,6,2.6685372895991155
Bwcity,7,3.05313081440651
Bwcity,8,3.4040339920689324
Bwcity,9,3.499072640112516
Bwcity,10,3.51176343094843
Bwcity,11,3.5525105384700457
Bwcity,12,3.679133889407672
Bwcity,13,3.6867597435572725
Bwcity,14,3.671621849798649
Bwcity,15,3.577721389300977
Bwcity,16,3.536006822064337
Bwcity,17,3.50134901520434
Bwcity,18,3.6222245181321098
Bwcity,19,3.6954668779824966
Bwcity,20,3.6198912327599873
Bwcity,21,3.3916277496245018
Bwcity,22,3.2379724489864876
Bwcity,23,3.1075930797493534
Bwcountry,0,6.588316248517181
Bwcountry,1,6.067360284743075
Bwcountry,2,5.782544202913578
Bwcountry,3,5.647109058420526
Bwcountry,4,5.723676843992202
Bwcountry,5,5.900010720975436
Bwcountry,6,6.287811149738865
Bwcountry,7,7.194019754290383
Bwcountry,8,8.02084459259573
Bwcountry,9,8.24478190580237
Bwcountry,10,8.274684915375472
Bwcountry,11,8.370696358795291
Bwcountry,12,8.6690559586203
Bwcountry,13,8.687024577959077
Bwcountry,14,8.651355517785166
Bwcountry,15,8.430100088908782
Bwcountry,16,8.331809043099009
Bwcountry,17,8.25014567446288
Bwcountry,18,8.534961756292377
Bwcountry,19,8.70754099237629
Bwcountry,20,8.529463891287628
Bwcountry,21,7.9916120576514
Bwcountry,22,7.629557715621454
Bwcountry,23,7.322347898925083
Bycity,0,2.1412029603392013
Bycity,1,1.971892257913444
Bycity,2,1.8793270235559114
Bycity,3,1.8353105979042497
Bycity,4,1.8601951303019755
Bycity,5,1.9175036451276823
Bycity,6,2.043538795045684
Bycity,7,2.338056616224544
Bycity,8,2.6067747112097157
Bycity,9,2.679554344105508
Bycity,10,2.689272823031803
Bycity,11,2.7204765447601313
Bycity,12,2.817443422835347
Bycity,13,2.8232832246102024
Bycity,14,2.811690779081486
Bycity,15,2.7397827586661236
Bycity,16,2.707838166098927
Bycity,17,2.681297569066369
Bycity,18,2.773862803423901
Bycity,19,2.8299510598549915
Bycity,20,2.772075997147508
Bycity,21,2.597274136556047
Bycity,22,2.479606465528163
Bycity,23,2.379763266728533
Bycountry,0,9.428264622704328
Bycountry,1,8.682746269006037
Bycountry,2,8.27515785233058
Bycountry,3,8.081342265262776
Bycountry,4,8.190915229995111
Bycountry,5,8.443259287480135
Bycountry,6,8.998224308171533
Bycountry,7,10.295061649427929
Bycountry,8,11.478296193446978
Bycountry,9,11.79876354324744
Bycountry,10,11.841556493166006
Bycountry,11,11.978954465762357
Bycountry,12,12.405924446219423
Bycountry,13,12.431638587988008
Bycountry,14,12.380594083523231
Bycountry,15,12.06396466654192
Bycountry,16,11.92330445003433
Bycountry,17,11.806439408885742
Bycountry,18,12.2140278255612
Bycountry,19,12.460998773039547
Bycountry,20,12.20616006023704
Bycountry,21,11.436462731808032
Bycountry,22,10.91834186212062
Bycountry,23,10.478706705390282
Hbcity,0,1.7326760181035517
Hbcity,1,1.5956686446152843
Hbcity,2,1.5207642265604802
Hbcity,3,1.4851458351506392
Hbcity,4,1.5052825682422233
Hbcity,5,1.5516570087370674
Hbcity,6,1.6536455104092358
Hbcity,7,1.891971337111755
Hbcity,8,2.109419849670098
Hbcity,9,2.16831362427283
Hbcity,10,2.17617788360739
Hbcity,11,2.201428147741943
Hbcity,12,2.279894405870356
Hbcity,13,2.28462001323836
Hbcity,14,2.2752393273665277
Hbcity,15,2.2170508675190495
Hbcity,16,2.1912010856560062
Hbcity,17,2.1697242537833388
Hbcity,18,2.244628671838142
Hbcity,19,2.29001567092953
Hbcity,20,2.243182776030296
Hbcity,21,2.1017319199569764
Hbcity,22,2.0065144391891496
Hbcity,23,1.9257206427414466
Hbcountry,0,0.0
Hbcountry,1,0.0
